Metadata_ECMs,Abb_ECM,ECM1,ECM2
Laminin,LN,LN,LN
Collagen IDecorin,C1DN,C1,DN
Collagen ICollagen IV,C1C4,C1,C4
Hyaluronic AcidFibronectin,HAFN,HA,FN
Hyaluronic AcidGalectin 3,HAG3,HA,G3
LamininGalectin 3,LNG3,LN,G3
Tenascin CDecorin,TCDN,TC,DN
Collagen IVOsteopontin,C4OPN,C4,OPN
Collagen I,C1,C1,C1
OsteopontinGalectin 3,OPNG3,OPN,G3
Collagen IV,C4,C4,C4
Hyaluronic AcidOsteopontin,HAOPN,HA,OPN
Fibronectin,FN,FN,FN
OsteopontinDecorin,OPNDN,OPN,DN
OsteopontinFibronectin,OPNFN,OPN,FN
LamininDecorin,LNDN,LN,DN
LamininFibronectin,LNFN,LN,FN
Collagen IGalectin 3,C1G3,C1,G3
Collagen IVHyaluronic Acid,C4HA,C4,HA
Galectin 3Fibronectin,G3FN,G3,FN
Collagen IVFibronectin,C4FN,C4,FN
Collagen IOsteopontin,C1OPN,C1,OPN
DecorinFibronectin,DNFN,DN,FN
Collagen IVGalectin 3,C4G3,C4,G3
LamininHyaluronic Acid,LNHA,LN,HA
Galectin 3,G3,G3,G3
DecorinGalectin 3,DNG3,DN,G3
Collagen ILaminin,C1LN,C1,LN
Tenascin CGalectin 3,TCG3,TC,G3
Tenascin CFibronectin,TCFN,TC,FN
Collagen ITenascin C,C1TC,C1,TC
Collagen IVLaminin,C4LN,C4,LN
Collagen IFibronectin,C1FN,C1,FN
Collagen IVTenascin C,C4TC,C4,TC
Collagen IVDecorin,C4DN,C4,DN
Tenascin COsteopontin,TCOPN,TC,OPN
Tenascin CHyaluronic Acid,TCHA,TC,HA
Collagen IHyaluronic Acid,C1HA,C1,HA
LamininTenascin C,LNTC,LN,TC
Hyaluronic Acid,HA,HA,HA
Hyaluronic AcidDecorin,HADN,HA,DN
LamininOsteopontin,LNOPN,LN,OPN
Tenascin C,TC,TC,TC
Decorin,DN,DN,DN
Osteopontin,OPN,OPN,OPN
