"","npar","Sum Sq","Mean Sq","F value","p_value","psig"
"Metadata_Stiffness",1,6.44378160591535e-07,6.44378160591535e-07,0.000414760129562937,0.983755155476095,"ns"
"CollagenI",4,0.0138054694615568,0.00345136736538921,2.2215054189981,0.0646967013998428,"."
"CollagenIV",4,0.0930512623512591,0.0232628155878148,14.9733324269456,6.11533046424029e-12,"***"
"Hyaluronic_Acid",4,0.00827698545956248,0.00206924636489062,1.33189009635555,0.256011029628856,"ns"
"TenascinC",4,0.0173495581750382,0.00433738954375955,2.79180201806217,0.0252087863546044,"*"
"Laminin",4,0.0487699164661968,0.0121924791165492,7.8478051047402,3.05673349032531e-06,"***"
"Fibronectin",4,0.0270588620029869,0.00676471550074673,4.35417344835287,0.00168778476980003,"**"
"Galectin3",4,0.0184570028659288,0.0046142507164822,2.970006344174,0.0186602621015808,"*"
"Osteopontin",4,0.0182844482416872,0.00457111206042179,2.94223973805507,0.0195589104654161,"*"
"Decorin",2,0.00857504133867689,0.00428752066933844,2.75970344290707,0.063723402612921,"."
"Abb_ECM",28,0.145368514191437,0.00519173264969417,3.34170808096064,1.3815019794805e-08,"***"
"Metadata_Stiffness:CollagenI",4,0.00188528716346093,0.000471321790865232,0.303370751835607,0.875806312353216,"ns"
"Metadata_Stiffness:CollagenIV",4,0.00548332176412483,0.00137083044103121,0.882348046695098,0.473771890900176,"ns"
"Metadata_Stiffness:Hyaluronic_Acid",4,0.00361337425531176,0.000903343563827941,0.581445673498891,0.676137909430815,"ns"
"Metadata_Stiffness:TenascinC",4,0.00618967493777401,0.0015474187344435,0.996010780683081,0.408628674066133,"ns"
"Metadata_Stiffness:Laminin",4,0.00472259741825421,0.00118064935456355,0.759936182222017,0.551421018545275,"ns"
"Metadata_Stiffness:Fibronectin",4,0.00574916839101005,0.00143729209775251,0.92512672393548,0.448443327654493,"ns"
"Metadata_Stiffness:Galectin3",4,0.00585905323375216,0.00146476330843804,0.94280882987886,0.438258490727548,"ns"
"Metadata_Stiffness:Osteopontin",4,0.00586657471712232,0.00146664367928058,0.944019148449499,0.437567479402115,"ns"
"Metadata_Stiffness:Decorin",2,0.00930451420694855,0.00465225710347428,2.99446951651147,0.0504476777817001,"."
"Metadata_Stiffness:Abb_ECM",28,0.0252815838299538,0.000902913708212636,0.5811689928452,0.960517550617324,"ns"
"CollagenI:Abb_ECM",13,0.0617432586064915,0.00474948143126858,3.05704887946756,0.000181448808076135,"***"
"CollagenIV:Abb_ECM",12,0.0388549642728263,0.00323791368940219,2.0841139310141,0.0155448599779564,"*"
"Hyaluronic_Acid:Abb_ECM",10,0.0452442282999136,0.00452442282999136,2.91218777098539,0.00131129326586676,"**"
"TenascinC:Abb_ECM",8,0.0206685066360289,0.00258356332950362,1.66293510055538,0.103140646869604,"ns"
"Laminin:Abb_ECM",6,0.00671988041692548,0.00111998006948758,0.720885820062781,0.632824028777225,"ns"
"Fibronectin:Abb_ECM",4,0.0432923442150708,0.0108230860537677,6.96638224022157,1.53011221507571e-05,"***"
"Galectin3:Abb_ECM",1,0.0372675031018465,0.0372675031018465,23.9875826965016,1.10585891877069e-06,"***"
"Metadata_Stiffness:CollagenI:Abb_ECM",13,0.00506001279493407,0.000389231753456467,0.250532718777145,0.996783653210598,"ns"
"Metadata_Stiffness:CollagenIV:Abb_ECM",12,0.010255717898512,0.000854643158209335,0.550099194397865,0.882229738741832,"ns"
"Metadata_Stiffness:Hyaluronic_Acid:Abb_ECM",10,0.00742858719590765,0.000742858719590765,0.478148077677837,0.904879709555038,"ns"
"Metadata_Stiffness:TenascinC:Abb_ECM",8,0.0039800043003645,0.000497500537545563,0.320220951033794,0.958605118072748,"ns"
"Metadata_Stiffness:Laminin:Abb_ECM",6,0.00429491889378123,0.000715819815630206,0.460744230068188,0.837600090653086,"ns"
"Metadata_Stiffness:Fibronectin:Abb_ECM",4,0.0065326080236514,0.00163315200591285,1.0511938159831,0.379510052864249,"ns"
"Metadata_Stiffness:Galectin3:Abb_ECM",1,0.0030221579552401,0.0030221579552401,1.94524070139864,0.163365821137706,"ns"
